data_medicao,temp_instantanea,umidade,pressao,velocidade_vento,direcao_vento,nebulosidade,temp_max,temp_min,precipitacao_12h
2017-01-31 00:00,24.8,93,1010.3,1.5,9,9,31.2,,
2017-01-31 12:00,25.8,92,1010.3,3.1,18,10,,25.0,14.3
2017-01-31 18:00,30.2,72,1007.6,3.6,9,6,,,
2017-02-01 00:00,27.4,84,1009.5,3.1,9,6,31.4,,
2017-02-01 12:00,28.5,77,1009.7,1.5,14,9,,24.5,3.8
2017-02-01 18:00,30.4,70,1007.2,4.6,9,9,,,
2017-02-02 00:00,27.3,83,1008.3,1.0,9,3,31.9,,
2017-02-02 12:00,28.8,71,1009.2,2.1,14,8,,25.9,0.4
2017-02-02 18:00,31.0,67,1008.0,1.5,9,4,,,
2017-02-03 00:00,27.8,73,1008.8,3.6,9,5,32.0,,
2017-02-03 12:00,28.8,77,1009.8,3.6,14,8,,25.4,0.0
2017-02-03 18:00,30.6,68,1007.4,4.1,9,3,,,
2017-02-04 00:00,27.8,83,1009.8,2.6,9,6,33.0,,
2017-02-04 12:00,27.7,80,1010.1,1.5,9,9,,25.0,0.6
2017-02-04 18:00,30.8,63,1007.3,3.1,9,8,,,
2017-02-05 00:00,27.4,79,1008.5,2.6,9,3,32.2,,
2017-02-05 12:00,28.8,77,1009.8,3.6,14,4,,25.1,0.0
2017-02-05 18:00,30.8,63,1006.5,3.1,9,3,,,
2017-02-06 00:00,27.4,84,1008.2,2.6,9,4,32.5,,
2017-02-06 12:00,28.4,76,1009.0,3.1,9,9,,25.4,0.0
2017-02-06 18:00,31.2,64,1007.8,3.1,9,9,,,
2017-02-07 00:00,27.7,82,1007.8,1.5,9,9,31.7,,
2017-02-07 12:00,29.7,70,1009.0,3.6,9,8,,26.7,0.0
2017-02-07 18:00,31.0,63,1006.2,3.1,9,8,,,