when,d15cm_modulo1_media,d45cm_modulo1_media,d75cm_modulo1_media,d15cm_modulo2_media,d45cm_modulo2_media,d75cm_modulo2_media,d15cm_modulo3_media,d45cm_modulo3_media,d75cm_modulo3_media,d15cm_modulo4_media,d45cm_modulo4_media,d75cm_modulo4_media,wetness_modulo5,temperature_modulo5,codigo_estacao,temp_med,temp_max,temp_min,umid_med,umid_max,umid_min,pto_orvalho_med,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao,EToPM
2017-04-25 00:00:00.000,1101.62809760534,485.216604800141,747.537753102473,795.602421167385,771.575040865801,1130.95156585162,675.38900265557,758.575712172264,604.273931518906,522.638813134583,1365.96340632492,743.913616689481,1023,28.2991063321961,359,29.1,31.7,26.6,67.375,76,54,22.3,23.6,21,99.795,999.6,996.8,3.7875,103,7.7375,10.259,0.2,10.5756032077661
2017-04-26 00:00:00.000,912.527960152011,267.547231679381,682.905615590374,784.806465099651,693.962508301006,1028.71827356235,646.887294575673,651.494116655928,602.414149979285,470.516500348225,1266.99765197562,637.13185051623,1021.25,28.4220840600625,359,27.7041666666667,31.9,25.6,73.75,83,52,22.4791666666667,24.2,20.2,99.89375,1000.9,996.6,3.49583333333333,107.5,6.95833333333333,19.89215,0,8.33728859916242
2017-04-27 00:00:00.000,887.416559965409,242.847600582372,624.681913644471,949.605745029025,724.645979456392,921.517846238722,793.253900815552,680.936862958373,644.946303218672,615.512301014289,1147.26584198081,605.668616504732,960.435312136211,27.6979006409638,359,27.425,30.7,25.6,77.5,87,65,23.0875,26.4,21.4,99.9658333333333,1002.3,998,3.17916666666667,108.291666666667,6.45,18.178175,1,7.08314828394539
2017-04-28 00:00:00.000,1081.82031304086,259.549684853108,599.024767988283,928.073144672736,739.359263520628,980.683365209915,1187.40522946902,722.880099403268,1138.39584641352,773.440109245477,1108.60759299539,822.288317072713,905.637352696726,26.8998014676458,359,28.2583333333333,31.9,25.7,75.1666666666667,86,60,23.3333333333333,24.5,22.3,99.9620833333333,1001.4,997.7,3.56666666666667,109.416666666667,7.44166666666667,23.18709,0,8.25908028038184
2017-04-29 00:00:00.000,1174.15324657739,275.122665862848,565.685281874919,972.109314078314,680.454715009648,1265.60502988403,1130.5868627492,622.798723086277,1102.76896577628,766.830580588155,1070.09990429621,1055.63341575731,925.057986182073,27.1335683521916,359,27.9166666666667,32.1,25.3,74.1666666666667,88,57,22.7458333333333,24.1,21.2,99.9591666666667,1001.3,997.5,4.15789473684211,122.210526315789,8.90526315789474,21.239133,2.2,8.37017700328925
2017-04-30 00:00:00.000,1141.94861186187,311.398406314934,554.025592317793,946.491864903095,775.03283325037,1948.88682035826,2778.01211442751,1141.81673565768,2419.5527669494,760.221051930832,1031.59221559702,1288.97851444191,944.478619667419,27.3673352367374,359,26.6291666666667,29.7,23.5,82.6666666666667,92,67,23.3875,25,21.9,100.05375,1002.4,998.6,2.28333333333333,120.083333333333,5.87826086956522,12.73152,8.4,5.21289225841552
2017-05-01 00:00:00.000,961.222680120166,333.609453478878,520.342447281264,804.579811027799,748.479434562126,2474.79502107189,3588.25892525064,1164.91143900302,3434.11931092396,793.607079314825,1006.22942461128,1355.37595733489,963.899253152766,27.6011021212833,359,27.4916666666667,31.3,24.2,72.7916666666667,91,52,21.9541666666667,23.5,19.3,100.030833333333,1001.8,998.3,1.87916666666667,123.666666666667,4.64583333333333,19.75147,0,8.55364944817235
2017-05-02 00:00:00.000,656.938017853684,229.246765595968,355.40937688143,815.674866391997,725.760987864007,1676.74353880423,4029.37818286168,1158.49904519159,3418.62269254635,NaN,NaN,NaN,983.319886638113,27.8348690058291,359,27.0541666666667,32.1,23.3,76.75,92,56,22.4583333333333,24,20.3,99.9941666666667,1001.8,997.4,2.85416666666667,110.416666666667,6.39583333333333,17.722651,3,7.15223138286635
2017-05-03 00:00:00.000,336.178583073017,116.996340193338,181.6518690664,826.769921756195,703.042541165887,878.692056536572,4470.49744047272,1152.08665138017,3403.12607416873,NaN,NaN,NaN,1002.74052012346,28.068635890375,359,27.6958333333333,31.7,24.8,70,80,54,21.6416666666667,24.8,19.4,99.9270833333333,1000.9,997.6,3.04166666666667,115.833333333333,7.25,20.25459,0,9.46709029298235
2017-05-04 00:00:00.000,481.185079912124,276.490875001803,288.468719486655,837.58574062793,697.676796922419,2522.60372678094,4234.08945097176,1060.79527229704,3472.91791539442,NaN,NaN,NaN,1013.26066992316,28.5855871263018,359,26.9166666666667,31,23.3,77.5,93,60,22.4875,23.9,20.5,99.91875,1001,996.8,3.12083333333333,117.125,7.76666666666667,19.454548,17.4,6.94897894306431
2017-05-05 00:00:00.000,1031.98916354554,535.94446440306,573.099055273686,844.443680802336,677.87842853371,4170.67358809264,2129.75699756977,1675.35802161891,3473.4704803854,NaN,NaN,NaN,687.349407641478,28.3344214497653,359,27.2875,31.6,24.1,76.2083333333333,92,59,22.5666666666667,24,20.9,99.9395833333333,1000.9,997.7,3.2,107.166666666667,6.875,21.878706,1.4,7.52123172038607
2017-05-06 00:00:00.000,972.499990779423,535.666272367455,572.844663532408,820.440984210049,650.33382017473,3668.68267855704,1261.54615565906,738.964909222726,3261.52642416907,NaN,NaN,NaN,808.098969841548,28.427384534886,359,27.5375,32.2,23.8,71.4583333333333,84,56,21.7583333333333,24.1,19.5,99.8870833333334,1001.1,997.1,2.625,155.458333333333,5.82916666666667,22.56734,0,9.08499069164128
2017-05-07 00:00:00.000,1042.17747893041,537.394654115264,573.036723293668,932.681547759832,616.939339049801,7550.83627118976,935.071816542809,581.113854703583,3339.94038408973,NaN,NaN,NaN,925.947288378852,28.7907572165558,359,27.525,32.2,25.5,77.4166666666667,89,54,23.075,25.1,21.2,99.8645833333333,1000.7,996.6,3.4375,106.916666666667,7.25,16.62843,0,7.09108210766364
2017-05-08 00:00:00.000,1597.99544705508,541.012832993011,571.953816495296,1032.21717002494,613.292259492856,7401.32885917629,1136.70758735396,1281.33760319815,3184.71750569537,NaN,NaN,NaN,493.638088587355,28.3810407475353,359,26.1041666666667,30,24.2,85,93,68,23.3625,25.5,22.1,99.83875,999.9,996.6,2.77083333333333,103.916666666667,6.69583333333333,10.87466,9.8,4.37166098604637
2017-05-09 00:00:00.000,1433.93621711395,549.441044448706,576.527506675224,823.887661398819,622.720449885572,6455.57616486526,1976.80627228861,1569.46669997169,3322.09710032633,NaN,NaN,NaN,186.978026249748,27.3704906625799,359,25.7454545454545,26.7,24.7,82.2727272727273,92,78,22.4818181818182,23.6,21.9,99.8909090909091,1000.3,997.4,3.71818181818182,116.272727272727,7.71818181818182,0.21606,0,4.73429857807406
