Date,p15cm,p45cm,p75cm
01/01/2017,NaN,NaN,NaN
02/01/2017,NaN,NaN,NaN
03/01/2017,30,80,40
04/01/2017,26,77,37
05/01/2017,30,82,42
06/01/2017,34,90,50
07/01/2017,NaN,NaN,NaN
08/01/2017,NaN,NaN,NaN
09/01/2017,17,58,27
10/01/2017,24,68,42
11/01/2017,15,50,6
12/01/2017,24,73,36
13/01/2017,26,74,35
14/01/2017,NaN,NaN,NaN
15/01/2017,NaN,NaN,NaN
16/01/2017,37,72,20
17/01/2017,30,78,22
18/01/2017,26,70,10
19/01/2017,16,54,0
20/01/2017,24,74,20
21/01/2017,NaN,NaN,NaN
22/01/2017,NaN,NaN,NaN
23/01/2017,28,74,16
24/01/2017,30,78,16
25/01/2017,29,78,15
26/01/2017,30,80,18
27/01/2017,21,58,0
28/01/2017,NaN,NaN,NaN
29/01/2017,NaN,NaN,NaN
30/01/2017,NaN,NaN,NaN
31/01/2017,30,80,12
01/02/2017,NaN,NaN,NaN
02/02/2017,34,42,12
03/02/2017,NaN,NaN,NaN
04/02/2017,NaN,NaN,NaN
05/02/2017,NaN,NaN,NaN
06/02/2017,36,90,10
07/02/2017,28,72,10
08/02/2017,28,78,0
09/02/2017,34,78,8
10/02/2017,35,90,0
11/02/2017,NaN,NaN,NaN
12/02/2017,NaN,NaN,NaN
13/02/2017,28,32,70
14/02/2017,31,80,0
15/02/2017,22,68,0
16/02/2017,41,82,12
17/02/2017,30,82,6
18/02/2017,NaN,NaN,NaN
19/02/2017,NaN,NaN,NaN
20/02/2017,22,67,0
21/02/2017,29,73,0
22/02/2017,30,82,8
23/02/2017,32,88,12